Part Number,Brand,Category,Common description,Vendor Description,Purchasing Unit Price,Sale Unit Price,Notes,URL
32311,Banner,Sensors,"Slot, Label and Arrays",Model: PVL500PQ;   PVL Series Parts Verification Array: 500 mm Length; Voltage: 12-30 V dc; Housing: Aluminum; IP50; Input/Output: PNP; Colors: Green Job; Red Mispick; Connection: Euro 5-pin 2m (6.5 ft) Pigtail Quick-Disconnect., 318.40  , 454.86 ,,https://www.bannerengineering.com/us/en/products/part.32311.html
32723,Banner,Brackets,Bracket - Right Angle Mounting,"SMB30A Bracket - Right Angle Mounting
12 Gauge Stainless Steel
Curved mounting slot for versatility/orientation
Clearance for M6 (1/4 in.) hardware", 8.32  , 11.89 ,,https://www.bannerengineering.com/us/en/products/part.32723.html
47812,Banner,Cordsets ,Single ended cordset,MQDC1-515; Euro-style Quick Disconnect Cable; Female M12 single key; 5 Pin Straight Connector; 5 m (15 ft) in Length; Chrome plated brass coupling nut, 21.60  , 30.86 ,,https://www.bannerengineering.com/us/en/products/part.47812.html
51127,Banner,Cordsets ,Single ended cordset,Model; MQDC1-506; Euro-style Quick Disconnect Cable; Female M12 single key; 5 Pin Straight Connector; 2 m (6.5 ft) in Length; Chrome plated brass coupling nut, 19.20  , 27.43 ,,https://www.bannerengineering.com/us/en/products/part.51127.html
71038,Banner,Cordsets ,Single ended cordset,Model: MQDC1-501.5; Euro-style Quick Disconnect Cable; Female M12 single key;  5-pin Straight Connector; 0.5 m (1.5 ft) in Length; Chrome plated Brass Coupling Nut, 10.40  , 14.86 ,,https://www.bannerengineering.com/us/en/products/part.71038.html
73135,Banner,Brackets,Bracket - 30 mm flat bracket,"SMBAMS30P
Bracket - 30 mm flat bracket
Material: 12 Gauge Cold Rolled Steel
Curved mounting slot for versatility/orientation", 11.20  , 16.00 ,,https://www.bannerengineering.com/us/en/products/part.73135.html
73137,Banner,Brackets,,"SMBAMS30RA Bracket - 30mm Right Angle 
Material: 12 Gauge cold rolled steel
Curved mounting slot for versatility/orientation", 11.20  , 16.00 ,,https://www.bannerengineering.com/us/en/products/part.73137.html
74005,Banner,Brackets,Bracke - Swivel with Tilt and Pan Movement,SMB30FA Bracke - Swivel with Tilt and Pan Movement 30mm Mounting Hole 3/8-16x2in Bolt Thread Mount, 11.20  , 16.00 ,,https://www.bannerengineering.com/us/en/products/part.74005.html
77161,Banner,Wireless monitoring solutions,Industrial Wireless Radios; Performance Series Gateways and Nodes,DIN Rail Assembly for DX80, 16.54  , 23.63 ,,https://www.bannerengineering.com/us/en/products/part.77161.html
77674,Banner,Batteries,Battery supply module,"DX81P6
FlexPower system for powering a FlexPower Node and sensor device through switched power outputs for up to 5 years
Six 3.6 V dc lithium D cell batteries - 114000mAh capacity
IP67 sealed enclosure", 305.20  , 436.00 ,,https://www.bannerengineering.com/us/en/products/part.77674.html
78261,Banner,Batteries,Batteries,"BWA-BATT-001
Replacement Battery
3.6V D Lithium Cell", 28.00  , 40.00 ,,https://www.bannerengineering.com/us/en/products/part.78261.html
97421,Banner,Batteries,Batteries,"BWA-BATT-011
Replacement Battery
3.6V D Lithium Cell Standard", 28.00  , 40.00 ,,https://www.bannerengineering.com/us/en/products/part.97421.html
78614,Banner,Brackets,Bracket - 22 mm V-Clamp Right Angle,SMB22RAVK Bracket; V-Clamp Right Angle with Fasteners for Mounting Sennsor with 22mm Threads to Pipe or Extrusions 32.6mm (1.28in), 20.00  , 28.57 ,,https://www.bannerengineering.com/us/en/products/part.78614.html
78615,Banner,Brackets,Bracket - 22 mm Bracket Assy,SMB22FVK Bracket: with 22mm Mounting Hole, 20.00  , 28.57 ,,https://www.bannerengineering.com/us/en/products/part.78615.html
79414,Banner,Brackets,Bracket - 22 mm Right Angle,SMB22A Bracket: Right Angle with 22mm Mounting Hole, 6.00  , 8.57 ,,https://www.bannerengineering.com/us/en/products/part.79414.html
81930,Banner,Products for Industrial Automation,Temperature ,"FTH-FIL-001
Filter for Temperature/Humidity Sensor
Aluminum grill filter cap
Default filter", 6.40  , 9.14 ,,https://www.bannerengineering.com/us/en/products/part.81930.html
81931,Banner,Products for Industrial Automation,Temperature ,"FTH-FIL-002
Filter for Temperature/Humidity Sensor
Stainless Steel Sintered to 10um Porosity
High dust environments", 62.40  , 89.14 ,,https://www.bannerengineering.com/us/en/products/part.81931.html
84901,Banner,Lighting and Indication,Wired touchbuttons,"K30LWXXPQ
K30 Series EZ-LIGHT: 1-Color General Purpose Indic
Voltage: 10-30 V dc; Housing: Polycarbonate; IP67
Input: PNP; Colors: White
Euro 4-pin Integral Connector", 50.91  , 72.73 ,General Purpose LED Selector,https://www.bannerengineering.com/us/en/products/part.84901.html
85309,Banner,Wireless Sensors,Temperature ,"M12FT4Q
Temperature Sensor with 1-wire Serial Interface", 88.90  , 127.00 ,,https://www.bannerengineering.com/us/en/products/part.85309.html
85377,Banner,Lighting and Indication,Industrial LED Task Lighting,Model: WL50-2PBQ;  WL50-2 Low Power LED Work Light; On-Off Switch; Voltage: 12-30Vdc; Environmental Rating: IP67; Color: White; Euro 4-Pin Integral Connector, 95.20  , 136.00 ,,https://www.bannerengineering.com/us/en/products/part.85377.html
85775,Banner,Lighting and Indication,Mounting solutions,Model: FLX18-DM30;  Flexible Mounting Arm - Length 18 in; Black Vinyl Coated Steel; Direct Mount: 2 X 1/4 -20 W/1.375 Spacing; Connection: M30 X 1.5, 40.00  , 57.14 ,,https://www.bannerengineering.com/us/en/products/part.85775.html
86016,Banner,Products for Industrial Automation,Battery supply module,"DX81-LITH
DX81 Battery Unit Single 3.6 V replacable Lithium Battery. The DX81 Battery Supply Module delivers and manages dc voltage from one 3.6 V dc lithium primary battery", 58.10  , 83.00 ,,https://www.bannerengineering.com/us/en/products/part.86016.html
88439,Banner,Wireless Sensors,Wireless Q45 Vibration and Temperature node,"DX80N2Q45VT
Wireless Q45 Vibration and Temperature Node
with 1-wire Serial Interface 2.4 GHz 65mW
Vibration and Temperature Sensor sold separately", 166.60  , 238.00 ,,https://www.bannerengineering.com/us/en/products/part.88439.html
91030,Banner,Wireless monitoring solutions,Wireless Sensors,"DX80N2Q45RD-QPF-0.5
Wireless Q45 Remote Device Node
Dry Contact or Namur Inputs 2.4 GHz 65mW
with an 18 inch Female Euro Pigtail", 158.90  , 227.00 ,,https://www.bannerengineering.com/us/en/products/part.91030.html
92336,Banner,Lighting and Indication,Modular Tower lights TL70 Series,"TL70GYRQ 
TL70 Light Module; 3-color RGB,
Input: Bimodal; Colors: Green Yellow Red
Voltage: 12-30 V dc; Environmental Rating: IP65,
Steady On/Flashing,
Euro 5-pin Quick-Disconnect. Black Housing", 186.40  , 266.29 ,,https://www.bannerengineering.com/us/en/products/part.92336.html
94218,Banner,Lighting and Indication,B-TL70DXN2-Q8 TL70 Wireless Base Module 2.4 GHz,"B-TL70DXN2-Q8
TL70 Wireless Base Module 2.4 GHz; Supports 1-6 Modules
Voltage: 12-30 V dc; Environmental Rating: IP65
Euro 8-pin Quick-Disconnect
Black Housing", 133.10  , 190.14 ,Data Sheet,https://www.bannerengineering.com/us/en/products/part.94218.html
94246,Banner,Lighting and Indication,Wireless Tower lights TL70 Series,"TL70 Wireless Tower Light, 2.4 GHz, Black Housing: 3-Color Indicator. Voltage: 12-30 V dc; IP65 Colors: Green Yellow Red Euro 5-pin Quick-Disconnect", 220.50  , 315.00 ,,https://www.bannerengineering.com/us/en/products/part.94246.html
94613,Banner,Wireless Sensors,Ultrasonic Distance,"K50 Ultrasonic Sensor
1-Wire Serial Interface
Range: 300 mm to 3 m (11.8 in to 118 in
Freq: 114kHz",, -   ,"Note Compatible Nodes:
D Lithium Cell Node: DX80N9X6S-P6 
Q45 AA Lithium Cell Nodes: DX80N2Q45U 
10-30v Nodes: DX80N2X6S-P6",https://www.bannerengineering.com/us/en/products/part.94613.html
96894,Banner,Lighting and Indication,Wired touchbuttons,"K70ALBT2XGHQ
K70 Series EZ-LIGHT: 1-Color Touch Sensor Gen 2; Latching Output
Voltage: 12-30 V dc; Housing: Polycarbonate; IP65
Output: Bipolar (NO); Colors: None - Not Activated, Green - Activated
Euro-style Quick-Disconnect", 128.80  , 184.00 ,,https://www.bannerengineering.com/us/en/products/part.96894.html
96895,Banner,Lighting and Indication,Wired touchbuttons,"K70ALBT2GGHQ
K70 Series EZ-LIGHT: 1-Color Touch Sensor Gen 2; Latching Output
Voltage: 12-30 V dc; Housing: Polycarbonate; IP65
Output: Bipolar (NO); Colors: Green - Not Activated, Green - Activated
Euro-style Quick-Disconnect", 128.80  , 184.00 ,,https://www.bannerengineering.com/us/en/products/part.96895.html
96896,Banner,Lighting and Indication,Wired touchbuttons,"K70ALBT2RGHQ
K70 Series EZ-LIGHT: 2-Color Touch Sensor Gen 2; Latching Output
Voltage: 12-30 V dc; Housing: Polycarbonate; IP65
Output: Bipolar (NO); Colors: Red - Not Activated, Green - Activated
Euro-style Quick-Disconnect", 128.80  , 184.00 ,,https://www.bannerengineering.com/us/en/products/part.96896.html
96897,Banner,Lighting and Indication,Wired touchbuttons,"K70ABT2XGHQ
K70 Series EZ-LIGHT: 1-Color Touch Sensor Gen 2; Momentary Output
Voltage: 12-30 V dc; Housing: Polycarbonate; IP65
Output: Bipolar (NO); Colors: None - Not Activated, Green - Activated
Euro-style Quick-Disconnect", 128.80  , 184.00 ,,https://www.bannerengineering.com/us/en/products/part.96897.html
96898,Banner,Lighting and Indication,Wired touchbuttons,"K70ABT2GGHQ
K70 Series EZ-LIGHT: 1-Color Touch Sensor Gen 2; Momentary Output
Voltage: 12-30 V dc; Housing: Polycarbonate; IP65
Output: Bipolar (NO); Colors: Green - Not Activated, Green - Activated
Euro-style Quick-Disconnect", 128.80  , 184.00 ,,https://www.bannerengineering.com/us/en/products/part.96898.html
96899,Banner,Lighting and Indication,Wired touchbuttons,"K70ABT2RGHQ
K70 Series EZ-LIGHT: 2-Color Touch Sensor Gen 2; Momentary Output
Voltage: 12-30 V dc; Housing: Polycarbonate; IP65
Output: Bipolar (NO); Colors: Red - Not Activated, Green - Activated
Euro-style Quick-Disconnect", 128.80  , 184.00 ,,https://www.bannerengineering.com/us/en/products/part.96899.html
96900,Banner,Lighting and Indication,Wired touchbuttons,"K70RLBT2XGHQ
K70 Series EZ-LIGHT: 1-Color Touch Sensor Gen 2; Latching Output
Voltage: 12-30 V dc; Housing: Polycarbonate; IP65
Output: Bipolar (NC); Colors: None - Not Activated, Green - Activated
Euro-style Quick-Disconnect", 128.80  , 184.00 ,,https://www.bannerengineering.com/us/en/products/part.96900.html
96901,Banner,Lighting and Indication,Wired touchbuttons,"K70RLBT2GGHQ
K70 Series EZ-LIGHT: 1-Color Touch Sensor Gen 2; Latching Output
Voltage: 12-30 V dc; Housing: Polycarbonate; IP65
Output: Bipolar (NC); Colors: Green - Not Activated, Green - Activated
Euro-style Quick-Disconnect", 128.80  , 184.00 ,,https://www.bannerengineering.com/us/en/products/part.96901.html
96902,Banner,Lighting and Indication,Wired touchbuttons,"K70RLBT2RGHQ
K70 Series EZ-LIGHT: 2-Color Touch Sensor Gen 2; Latching Output
Voltage: 12-30 V dc; Housing: Polycarbonate; IP65
Output: Bipolar (NC); Colors: Red - Not Activated, Green - Activated
Euro-style Quick-Disconnect", 128.80  , 184.00 ,,https://www.bannerengineering.com/us/en/products/part.96902.html
96903,Banner,Lighting and Indication,Wired touchbuttons,"K70RBT2XGHQ
K70 Series EZ-LIGHT: 1-Color Touch Sensor Gen 2; Momentary Output
Voltage: 12-30 V dc; Housing: Polycarbonate; IP65
Output: Bipolar (NC); Colors: None - Not Activated, Green - Activated
Euro-style Quick-Disconnect", 128.80  , 184.00 ,,https://www.bannerengineering.com/us/en/products/part.96903.html
96904,Banner,Lighting and Indication,Wired touchbuttons,"K70RBT2GGHQ
K70 Series EZ-LIGHT: 1-Color Touch Sensor Gen 2; Momentary Output
Voltage: 12-30 V dc; Housing: Polycarbonate; IP65
Output: Bipolar (NC); Colors: Green - Not Activated, Green - Activated
Euro-style Quick-Disconnect", 128.80  , 184.00 ,,https://www.bannerengineering.com/us/en/products/part.96904.html
96905,Banner,Lighting and Indication,Wired touchbuttons,"K70RBT2RGHQ
K70 Series EZ-LIGHT: 2-Color Touch Sensor Gen 2; Momentary Output
Voltage: 12-30 V dc; Housing: Polycarbonate; IP65
Output: Bipolar (NC); Colors: Red - Not Activated, Green - Activated
Euro-style Quick-Disconnect", 128.80  , 184.00 ,,https://www.bannerengineering.com/us/en/products/part.96905.html
96946,Banner,Lighting and Indication,"Pick-to-Light, Wireless Pushbutton","K70DXN2T2GRYQ. 
K70 Wireless Touch Sensor, 2.4 GHz, Black Housing: 3-Color Indicator; 
Voltage: 12-30 V dc; Environ. 
Rating: IP65; 
Colors: Green Red Yellow; 
Euro 5-pin Quick-Disconnect", 163.10  , 233.00 ,Delivery 10-14 days,https://www.bannerengineering.com/us/en/products/part.96946.html
191599,Banner,Wireless Sensors,Ultrasonic Distance,"K50 Ultrasonic Sensor
1-Wire Serial Interface
Range: 100 mm to 1 m (3.94 in to 39.4 in)
Freq: 224kHz",, -   ,"Note Compatible Nodes:
D Lithium Cell Node: DX80N9X6S-P6 
Q45 AA Lithium Cell Nodes: DX80N2Q45U 
10-30v Nodes: DX80N2X6S-P6",https://www.bannerengineering.com/us/en/products/part.191599.html
800137,Banner,Wireless monitoring solutions,DXM100 - Wireless Controller,"DXM100-B1R3
DXM100 Controller
DX80 Performance 2.4 GHz Radio 65 mW
Inputs: 4 Universal
Outputs: 4 NMOS Discrete, 2 Selectable Analog, 2 Switched Power, 1 Courtesy Power
SAM4 Processor, LCD Display", 567.89  , 811.27 ,DXM Controller Selection Guide,https://www.bannerengineering.com/us/en/products/part.800137.html
806248,Banner,Wireless monitoring solutions,DXM700-B1R3 - Wireless Controller,"DXM700-B1R3
DXM700 controller with M7 processor, 16MB memory
LCD display, 4 sourcing outputs, Ethernet, USB
CAN, 2.4GHz Performance Gateway", 550.46  , 786.37 ,,https://www.bannerengineering.com/us/en/products/part.806248.html
812240,Banner,SnapSignal,DXMR90-X1,"DXMR90 Industrial Controller
Power: 12-30 V dc
Female M12 (D-Code Ethernet)
IP67, IP68
Ethernet IP, Modbus TCP, and Profinet", 562.93  , 804.19 ,,https://www.bannerengineering.com/us/en/products/part.812240.html
810974,Banner,SnapSignal,IO-link Master; Inputs: 2 IO-link Devices,"R45C-2K-MQ 2-port IO-link Master
Inputs: 2 IO-link Devices
RS485", 236.34  , 337.63 ,,https://www.bannerengineering.com/us/en/products/part.810974.html
810627,Banner,SnapSignal,Converter w/ Current Transformers; Output: Modbus,"S15C Series: In-Line Converter w/ Current Transformers
Voltage: 10-30 V dc; IP65/IP67/IP68
Input: Current Transformer; Output: Modbus
Female-Male 4-pin M12 QD", 142.88  , 204.11 ,,https://www.bannerengineering.com/us/en/products/part.810627.html
810628,Banner,SnapSignal,Converter Analog Current; Output: Modbus,"Signal Converter 4-20 mA to Modbus
Voltage: 10-30 V dc; IP65/IP67/IP68
Input: Analog Current, Output: Modbus
Female-Male 4-pin M12 QD", 105.28  , 150.40 ,,https://www.bannerengineering.com/us/en/products/part.810628.html
812324,Banner,SnapSignal,Converter Discrete Input/Output; Output: Modbus,"Signal Converter Discrete I/O to Modbus
Voltage: 12-30 V dc; IP65/IP67/IP68
Female: Discrete Input/Output ; Male: Modbus
Male-Female 5-pin M12 QD", 105.28  , 150.40 ,,https://www.bannerengineering.com/us/en/products/part.812324.html
810626,Banner,SnapSignal,"Converter: Input: Thermistor, Output: Modbus","Thermistor
Voltage: 10-30 V dc; IP65/IP67/IP68
Input: Thermistor, Output: Modbus
Female-Male 4-pin M12 QD", 142.88  , 204.11 ,,https://www.bannerengineering.com/us/en/products/part.810626.html
812526,Banner,SnapSignal,R70 Serial Data Radio 2.4 GHz,"R70 Serial Data Radio Multihop 2.4 GHz 65 mW
Internal Antenna
RS485
5-pin M12 Integral QD", 262.13  , 374.47 ,,https://www.bannerengineering.com/us/en/products/part.812526.html
75274,Banner,SnapSignal,Splitter Cable - 2-way,"Splitter Cable

4-pin M12 Male Trunk 2.5 m (8 ft)
Two 4-pin M12 0.3 m (1 ft) Female Branches
Black", 97.76  , 139.66 ,,https://www.bannerengineering.com/us/en/products/part.75274.html
807397,Banner,SnapSignal,T Splitter Connector,"M12 T Splitter - Passive
5-Pin Female Trunk Straight
5-Pin Female T Branch (1)
5-Pin Male T Branch(1)
Black TPU Splitter Junction", 35.45  , 50.64 ,,https://www.bannerengineering.com/us/en/products/part.807397.html
808663,Banner,SnapSignal,Splitter M12M 4 ports,"Splitter M12M 5- Pin to M12F 5- pin, M12F 5-pin, M12F 5-pin and M12F 5-pin connectors
Black PVC 22-5 AWG Trunk cordset, Straight Connectors
Trunk: 0.3 m; Branches: 0.0 m", 56.94  , 81.34 ,,https://www.bannerengineering.com/us/en/products/part.808663.html
813371,Banner,SnapSignal,8-Port Molded Junction Box,"8-Port Molded Junction Box
8 Female 5-pin M12 Ports
Male 5-pin M12 Integral Homerun
Parallel Wiring", 105.28  , 150.40 ,,https://www.bannerengineering.com/us/en/products/part.813371.html
800203,Banner,Wireless Sensors,1 Wire serial inteface universal Q45 node,"Wireless Q45 Universal Node with 1-wire serial interface 2.4 GHz 65mW, Works with K50UX1ARA, K50UX1CRA, QM30VT1, QM30VT1-QP,  QM30VT1-SS, M12FTH4Q, M12FT4Q, QS30WEQ and QS30WRQ", 225.60  , 322.29 ,Does not have dip switch vibration threshold warning settings like the DX80N2Q45VT has,https://www.bannerengineering.com/us/en/products/part.800203.html
800826,Banner,Wireless monitoring solutions,Wireless Q120 Pendant - 6 button,"Wireless Q120 Pendant Node 2.4 GHz 65 mW 
Battery Included and 10 - 30 V dc power terminals
Six independently controlled push button inputs
Six sets of green and red LED indicator lights
Part Number: 800826", 599.00  , 855.71 ,,https://www.bannerengineering.com/us/en/products/part.800826.html
806118,Banner,Wireless monitoring solutions,Wireless Q120 Pendant - 2 button,"Wireless Q120 Pendant Node 2.4 Ghz
Integrated Battery
Two Operator Inputs (2 Flush Push Buttons)
Four Color LED Indicator Light Output", 499.00  , 712.86 ,,https://www.bannerengineering.com/us/en/products/part.806118.html
802002,Banner,Lighting and Indication,LED Strip Light - for inside panels,"WLS15 Work Light Strip; Diffused Window; Length: 360 mm
Voltage: 12 or 24 V dc; Environmental Rating: IP66,67
Color: Daylight White; Cascadable
2 m (6.5 ft) Cable", 65.00  , 92.86 ,,https://www.bannerengineering.com/us/en/products/part.802002.html
802140,Banner,Lighting and Indication,PROGRAMMABLE MULTICOLOR INDICATOR,"K30L2RGB7Q
K30 Series EZ-LIGHT: K30L2 7-color RGB Indicator
Voltage: 10-30 V dc; Housing: Polycarbonate; IP66 IP67 IP69K
Input: Bimodal; Colors: Multicolor
Euro 5-pin Integral Connector
Part Number: 802140", 58.66  , 83.80 ,Programmable Multicolor LED Indicator Selection,https://www.bannerengineering.com/us/en/products/part.802140.html
802158,Banner,Lighting and Indication,Wired touchbuttons,"K50 Pro with IO-Link Series: RGB Indicator
Voltage: 18 - 30 V dc; Housing: Polycarbonate; IP66 IP67 IP69K
Input: Bimodal; Colors: Multicolor
Euro 4-pin Integral Connector",, -   ,,https://www.bannerengineering.com/us/en/products/part.802158.html
803732,Banner,Lighting and Indication,SG-TL70-RGB14  Light Module; 14-color RGB,"SG-TL70-RGB14
TL70 Light Module; 14-color RGB
Voltage: 12-30 V dc; Environmental Rating: IP65
Steady On/Flashing
Black Housing", 78.96  , 112.80 ,,https://www.bannerengineering.com/us/en/products/part.803732.html
803750,Banner,Lighting and Indication,TL70 Light Module; 14-color RGB,"SG-TL70-DXN2
Segment - Wireless Node
", 136.50  , 195.00 ,,https://www.bannerengineering.com/us/en/products/part.803750.html
806180,Banner,Lighting and Indication,Wired touchbuttons,"K50 Pro Touch with IO-Link Series: RGB Touch Sensor
Voltage: 18-30 V dc; Housing: Polycarbonate
Environ. Rating: IP67 IP69K; Colors: Multicolor
Euro 4-Pin Quick-Disconnect", 131.60  , 188.00 ,,https://www.bannerengineering.com/us/en/products/part.806180.html
806257,Banner,Wireless Sensors,Vibration Sensor and Current Transformer,"DX80N2X1W-CM1L 
DX80 Condition Monitoring 2.4 GHz Node 65mW. Internal Battery Internal Antenna. Input: Pre-Configured dip switches for VT1 Vibration Sensor and Current Transformer (20 Amp and 150 Amp Included). Pre-wired Pigtail Cables in Gland for Sensors. Vibration Sensor Not Included. No LCD No Rotary Dials", 394.80  , 564.00 , 842.24 ,https://www.bannerengineering.com/us/en/products/part.806257.html
806271,Banner,Wireless Sensors,"Mounting Bracket
(included with Sensor)","BWA-BK-012
Stainless Steel Mounting Bracket", Obsolete ,#VALUE!,Installation guide,https://www.bannerengineering.com/us/en/products/part.806271.html
806275,Banner,Wireless Sensors,Vibration and Temperature Sensor,"QM30VT1
Vibration and Temperature Sensor. 1-Wire Serial Interface.
2.09 m (6.9 ft) QD Cable, Aluminum Housing", 194.77  , 278.24 ,,https://www.bannerengineering.com/us/en/products/part.806275.html
